Date, Open, High, Low,Close
25/03/2009 22:00:00,98.08,98.53,96.21,97.15
26/03/2009 22:00:00,97.19,99.01,97.11,98.37
27/03/2009 22:00:00,98.35,98.63,95.99,96.42
30/03/2009 23:00:00,96.6,96.6,92.46,92.86
31/03/2009 23:00:00,92.99,94.29,92.12,93.18
01/04/2009 23:00:00,93.31,93.31,91.61,92.83
02/04/2009 23:00:00,92.8,97.22,92.8,96.83
03/04/2009 23:00:00,96.71,98.25,95.37,96.87
06/04/2009 23:00:00,96.75,97.95,94.16,95.61
07/04/2009 23:00:00,95.74,96.17,92.8,92.82
08/04/2009 23:00:00,92.82,95.65,91.72,94.46
09/04/2009 23:00:00,94.31,96.8,94.07,96.5
13/04/2009 23:00:00,96.35,96.5,93.19,94.36
14/04/2009 23:00:00,94.31,95.47,93.2,93.55
15/04/2009 23:00:00,93.51,95.14,93.26,94.12
16/04/2009 23:00:00,94.05,94.83,93.46,94.18
17/04/2009 23:00:00,94.28,95.72,93.76,94.56
20/04/2009 23:00:00,94.49,94.64,90.44,90.54
21/04/2009 23:00:00,90.47,91.52,88.95,91.09
22/04/2009 23:00:00,90.91,91.32,89.93,90.91
23/04/2009 23:00:00,90.72,92.15,90.6,91.83
24/04/2009 23:00:00,91.88,93.98,91.29,93.77
27/04/2009 23:00:00,93.68,93.68,90.24,92.37
28/04/2009 23:00:00,92.33,92.42,90.78,91.55
29/04/2009 23:00:00,91.48,93.65,91.35,92.95
30/04/2009 23:00:00,93.02,94.17,92.44,93.02
01/05/2009 23:00:00,93.18,95.88,92.66,94.97
04/05/2009 23:00:00,94.85,96.87,94.79,96.74
05/05/2009 23:00:00,96.69,97.06,95.73,96.36
06/05/2009 23:00:00,96.35,98.7,95.8,98.52
07/05/2009 23:00:00,98.53,100.8,97.69,98.21
08/05/2009 23:00:00,98.73,100.98,98.44,100.98
11/05/2009 23:00:00,100.72,100.86,99.01,100.33
12/05/2009 23:00:00,100.33,102.31,100.04,101.63
13/05/2009 23:00:00,101.52,102.13,99.64,100.05
14/05/2009 23:00:00,99.96,101.23,98.78,100.83
15/05/2009 23:00:00,100.77,101.11,98.3,98.67
18/05/2009 23:00:00,98.82,101.52,98.36,101.24
19/05/2009 23:00:00,101.34,102.59,100.53,101.91
20/05/2009 23:00:00,101.78,103.86,101.46,103.35
21/05/2009 23:00:00,103.28,103.47,101.52,102.68
22/05/2009 23:00:00,102.65,103.58,102.1,103.15
25/05/2009 23:00:00,103.1,103.76,102.48,102.81
26/05/2009 23:00:00,102.9,104.1,101.13,104.07
27/05/2009 23:00:00,104.47,105.42,103.79,104.55
28/05/2009 23:00:00,104.51,107.04,104.35,106.45
29/05/2009 23:00:00,106.37,108.22,106.28,108.15
01/06/2009 23:00:00,108.08,110.28,107.83,109.6
02/06/2009 23:00:00,109.64,110.65,109.1,109.81
03/06/2009 23:00:00,109.85,110.55,106.55,107.7
04/06/2009 23:00:00,107.69,111.2,107.52,110.32
05/06/2009 23:00:00,110.33,111.92,109.14,110.04
08/06/2009 23:00:00,109.92,110.55,108.38,110.3
09/06/2009 23:00:00,110.29,112.25,110.03,112.15
10/06/2009 23:00:00,112.11,113.39,112.03,113.04
11/06/2009 23:00:00,113.06,114.83,112.92,114.1
12/06/2009 23:00:00,114.03,114.23,112.4,113.78
15/06/2009 23:00:00,113.8,113.95,111.18,112.06
16/06/2009 23:00:00,111.91,114.37,111.4,111.79
17/06/2009 23:00:00,111.86,112.88,110.6,112.47
18/06/2009 23:00:00,112.42,113.35,111.82,112.89
19/06/2009 23:00:00,112.94,113.91,110.46,111.13
22/06/2009 23:00:00,111.26,111.36,107.73,108.23
23/06/2009 23:00:00,108.21,110.74,107.43,109.88
24/06/2009 23:00:00,109.61,110.92,109.12,109.5
25/06/2009 23:00:00,109.35,111.99,109.17,111.4
26/06/2009 23:00:00,111.4,112.35,109.87,110.48
29/06/2009 23:00:00,110.31,112.98,109.42,112.66
30/06/2009 23:00:00,112.66,114.44,109.96,111.38
01/07/2009 23:00:00,111.51,112.91,109.58,110.37
02/07/2009 23:00:00,110.28,110.8,107.32,107.5
03/07/2009 23:00:00,107.55,108.23,106.46,106.69
06/07/2009 23:00:00,106.6,106.71,104.46,105.34
07/07/2009 23:00:00,105.25,105.97,103.3,103.4
08/07/2009 23:00:00,103.37,103.74,101.07,101.39
09/07/2009 23:00:00,101.44,102.68,100.31,101.53
10/07/2009 23:00:00,101.51,101.95,99.78,100.79
13/07/2009 23:00:00,100.92,101.73,99.38,101.04
14/07/2009 23:00:00,101.2,102.52,100.21,100.85
15/07/2009 23:00:00,100.85,103.06,100.71,102.81
16/07/2009 23:00:00,103.06,103.24,101.35,103.07
17/07/2009 23:00:00,103.3,105.05,102.1,104.59
20/07/2009 23:00:00,104.35,105.88,104.18,105.34
21/07/2009 23:00:00,105.34,106.66,104.51,104.95
22/07/2009 23:00:00,105.01,105.75,103.74,105.33
23/07/2009 23:00:00,105.38,107.47,104.38,106.69
24/07/2009 23:00:00,106.6,108.18,106.44,108
27/07/2009 23:00:00,108.03,108.97,107.58,108.1
28/07/2009 23:00:00,108.24,108.84,106.46,106.65
29/07/2009 23:00:00,106.66,106.99,102.68,102.86
30/07/2009 23:00:00,102.84,107.27,102.74,106.61
31/07/2009 23:00:00,106.67,109.72,104.94,109.33
03/08/2009 23:00:00,109.28,112.18,109.07,111.35
04/08/2009 23:00:00,111.32,111.93,110.14,111.74
05/08/2009 23:00:00,111.8,112.08,109.69,111.76
06/08/2009 23:00:00,111.81,112.4,110.16,111.83
07/08/2009 23:00:00,111.79,112.82,110.36,110.48
10/08/2009 23:00:00,110.65,111.55,110.07,110.66
11/08/2009 23:00:00,110.74,111.23,108.69,109.56
12/08/2009 23:00:00,109.65,111.11,108.82,110.37
13/08/2009 23:00:00,110.52,112.19,110.03,110.95
14/08/2009 23:00:00,110.88,111.58,107.1,107.44
17/08/2009 23:00:00,107.67,107.67,105.21,106.69
18/08/2009 23:00:00,106.78,110.24,106.09,110.18
19/08/2009 23:00:00,110.17,112.58,108.05,111.81
20/08/2009 23:00:00,111.82,112.34,110.8,111.17
21/08/2009 23:00:00,111.15,112.99,110.3,112.3
24/08/2009 23:00:00,112.02,113.08,111.84,112.25
25/08/2009 23:00:00,112.24,113.23,109.38,109.65
26/08/2009 23:00:00,109.62,110.91,108.94,109.68
27/08/2009 23:00:00,109.63,111.12,108.1,111.07
28/08/2009 23:00:00,111.13,111.79,110.05,111.06
31/08/2009 23:00:00,111.02,111.63,107.4,107.9
01/09/2009 23:00:00,107.83,109.64,106.27,106.65
02/09/2009 23:00:00,106.47,107.07,105.32,106.3
03/09/2009 23:00:00,106.42,107.67,105.93,106.34
04/09/2009 23:00:00,106.46,107.05,105.39,106.06
07/09/2009 23:00:00,106.14,107.18,105.81,106.27
08/09/2009 23:00:00,106.38,110.06,106.18,109.59
09/09/2009 23:00:00,109.6,110.79,108.93,110
10/09/2009 23:00:00,109.91,110.71,109.13,110.4
11/09/2009 23:00:00,110.32,111.17,107.09,107.56
14/09/2009 23:00:00,107.42,107.78,106.29,107.12
15/09/2009 23:00:00,107.05,109.46,106.75,108.68
16/09/2009 23:00:00,108.67,110.83,108.41,110.67
17/09/2009 23:00:00,110.58,111.43,109.93,110.66
18/09/2009 23:00:00,110.67,110.93,109.54,110.09
21/09/2009 23:00:00,110.03,110.47,107.09,107.54
22/09/2009 23:00:00,107.59,109.85,107.56,109.43
23/09/2009 23:00:00,109.45,109.63,105.86,106.09
24/09/2009 23:00:00,106.15,106.59,103.42,103.87
25/09/2009 23:00:00,103.74,104.91,102.87,103.86
28/09/2009 23:00:00,103.97,105.36,103.23,105.03
29/09/2009 23:00:00,104.93,105.15,103.64,104.32
30/09/2009 23:00:00,104.53,108.54,104.04,108.16
01/10/2009 23:00:00,108.22,109.21,106.95,108.07
02/10/2009 23:00:00,108.17,108.51,106.14,107.5
05/10/2009 23:00:00,107.63,108.77,105.87,108.15
06/10/2009 23:00:00,108.08,109.79,107.88,109.05
07/10/2009 23:00:00,108.98,109.58,106.7,107.63
08/10/2009 23:00:00,107.62,110.37,106.99,109.18
09/10/2009 23:00:00,109.24,110.17,108.44,110.11
12/10/2009 23:00:00,110.06,111.66,109.87,110.92
13/10/2009 23:00:00,110.99,112.37,110.65,112.24
14/10/2009 23:00:00,112.22,113.35,112.22,113.17
15/10/2009 23:00:00,113.16,115.79,112.61,115.61
16/10/2009 23:00:00,115.58,116.57,114.64,116.48
19/10/2009 23:00:00,116.45,117.38,115.78,117.31
20/10/2009 23:00:00,117.31,117.73,115.65,116.05
21/10/2009 23:00:00,116.02,119.32,114.97,118.26
22/10/2009 23:00:00,118.37,118.83,117.19,118.56
23/10/2009 23:00:00,118.59,119.11,116.88,116.93
26/10/2009 22:00:00,116.98,118.91,115.3,115.91
27/10/2009 22:00:00,116.01,117.22,115.14,116.86
28/10/2009 22:00:00,116.8,117.16,114.46,114.46
29/10/2009 22:00:00,114.44,117.79,114.36,117.32
30/10/2009 22:00:00,117.31,117.54,114.18,114.31
02/11/2009 23:00:00,114.35,115.99,113.89,115.33
03/11/2009 23:00:00,115.42,117.1,113.88,116.74
04/11/2009 23:00:00,116.8,118.39,116.45,117.56
05/11/2009 23:00:00,117.62,117.85,116.67,117.03
06/11/2009 23:00:00,117.13,117.67,114.04,114.96
09/11/2009 23:00:00,115.2,117.52,115.1,116.52
